id,nombre,descripcion,rol o roles,reglas de negocio,criterios de aceptacion,prioridad,casos de uso asociados
FR-001,Autenticación segura de usuarios,"El sistema debe permitir inicio de sesión seguro para usuarios internos y externos autorizados, con políticas de contraseña, bloqueo por intentos fallidos y cierre por inactividad.",Administrador del sistema; Jefe de inventarios; Auxiliar de bodega; Compras; Calidad; Despacho; Contabilidad; Gerencia,El acceso debe ser nominal e intransferible; solo usuarios autorizados pueden ingresar; aplicar mínimo privilegio y sesiones con caducidad; debe soportar evidencia de quién ejecutó cada operación.,"Dado un usuario activo, cuando ingresa credenciales válidas, entonces accede según su perfil; si supera intentos fallidos configurados, la cuenta se bloquea; al vencer la inactividad, la sesión se cierra automáticamente.",Alta,UC-01 Iniciar sesión
FR-002,"Gestión de usuarios, roles y permisos granulares","El sistema debe administrar usuarios, roles y permisos por módulo, operación, bodega, tipo de documento y nivel de aprobación.",Administrador del sistema,La segregación de funciones debe impedir que un mismo perfil ejecute y apruebe movimientos críticos no autorizados; los permisos deben poder restringirse por bodega y estado de inventario.,"Se pueden crear, editar, desactivar y reasignar usuarios; un perfil sin permiso no puede ejecutar la transacción restringida; los cambios de permisos quedan auditados con fecha y responsable.",Alta,UC-02 Administrar usuarios y roles
FR-003,Bitácora y trazabilidad de auditoría,"El sistema debe registrar una bitácora inalterable de altas, cambios, anulaciones, aprobaciones y movimientos de inventario.",Administrador del sistema; Auditor interno; Jefe de inventarios; Gerencia,"La trazabilidad debe conservar usuario, fecha, hora, IP o dispositivo, antes/después y motivo del cambio; debe facilitar soporte probatorio de operaciones comerciales y sanitarias.",Cada transacción genera un evento de auditoría consultable; la bitácora muestra valores anteriores y nuevos en cambios críticos; un usuario sin permiso solo puede consultar los eventos autorizados.,Alta,UC-03 Consultar auditoría
FR-004,Catálogo de unidades de medida y conversiones,"El sistema debe administrar unidades de medida comerciales y logísticas como unidad, bandeja, caja, kilo, libra y pallet, incluyendo conversiones controladas.",Administrador del sistema; Jefe de inventarios,"Toda conversión debe tener factor, vigencia y redondeo definido; no se permiten conversiones activas duplicadas para el mismo producto y presentación.","Se puede crear una UDM y su factor de conversión; el stock se recalcula correctamente al convertir entre presentaciones; si la conversión está inactiva, no puede usarse en transacciones nuevas.",Alta,UC-04 Configurar UDM
FR-005,"Gestión de categorías, subcategorías y líneas","El sistema debe permitir crear y mantener categorías y subcategorías para organizar el portafolio, por ejemplo pollo asado, pollo apanado, congelados, insumos, empaques y devoluciones.",Administrador del sistema; Jefe de inventarios; Compras,"Cada producto debe pertenecer al menos a una categoría activa; no se puede eliminar una categoría con productos asociados, solo inactivarla.","Se pueden crear, editar e inactivar categorías y subcategorías; los productos solo se guardan con una clasificación válida; los filtros y reportes usan la clasificación configurada.",Alta,UC-05 Crear categoría
FR-006,Maestro de productos y SKU,"El sistema debe administrar el maestro de productos con SKU único, nombre comercial, descripción, marca, unidad base, categoría, manejo por lote, vida útil, temperatura objetivo y estado.",Administrador del sistema; Jefe de inventarios; Compras; Calidad,"Cada SKU debe ser único; para perecederos debe definirse si controla lote, vencimiento y cadena de frío; no se puede activar un producto sin UDM y categoría.",El sistema crea productos con validaciones obligatorias; evita duplicidad de SKU; permite inactivar productos sin perder histórico de movimientos.,Alta,UC-06 Crear producto
FR-007,"Gestión de presentaciones, envases y embalajes","El sistema debe definir presentaciones comerciales y logísticas por producto, incluyendo unidad, bandeja, bolsa, caja master, canastilla y pallet, con contenido, peso y dimensiones.",Administrador del sistema; Jefe de inventarios; Compras; Calidad,"Cada presentación debe indicar cantidad contenida, UDM base y material de empaque; para producto envasado o embalado debe existir identificación de lote y trazabilidad de presentación; no debe haber dos presentaciones activas idénticas para el mismo SKU.",Se pueden crear múltiples presentaciones por producto; el sistema calcula existencias por unidad base y por empaque; la impresión de etiquetas refleja la presentación configurada.,Alta,UC-07 Definir empaque; UC-42 Imprimir etiqueta
FR-008,Parametrización sanitaria y logística por producto,"El sistema debe parametrizar por producto reglas como FEFO/PEPS, días mínimos de recepción, días mínimos de despacho, temperatura permitida, necesita registro sanitario y tipo de inspección.",Administrador del sistema; Calidad; Jefe de inventarios,Para perecederos se debe privilegiar FEFO y no permitir despacho de producto vencido o bloqueado; el sistema debe validar umbrales de temperatura y vida útil restante según política.,"Se pueden definir umbrales por SKU; en ingresos y salidas el sistema aplica la parametrización automáticamente; si un lote incumple temperatura o vida útil mínima, queda en excepción o cuarentena según regla.",Alta,UC-08 Parametrizar lote-vencimiento-temperatura
FR-009,Maestro de clientes y destinatarios,"El sistema debe administrar clientes, puntos de entrega, canales y destinatarios de salidas de inventario, incluyendo datos tributarios, comerciales y logísticos.",Ventas/Despacho; Contabilidad; Administrador del sistema,No se puede despachar a un destinatario inactivo; los datos tributarios y de contacto deben mantenerse actualizados y protegidos conforme a tratamiento de datos aplicable.,"Se pueden crear, editar e inactivar clientes y sedes; el sistema valida NIT o documento y dirección mínima; las salidas quedan asociadas al destinatario final.",Media,UC-09 Crear cliente
FR-010,Gestión de bodegas,"El sistema debe permitir crear, editar, activar e inactivar bodegas con código único, dirección, tipo, responsable, horario y condiciones operativas.",Administrador del sistema; Jefe de inventarios; Gerencia,"Cada bodega debe tener responsable y estado; no se puede inactivar una bodega con stock disponible sin ejecutar traslado, cierre o bloqueo controlado.","Se puede crear una bodega con datos obligatorios; el sistema impide duplicidad de código; si una bodega tiene inventario, solicita plan de cierre antes de inactivarla.",Alta,UC-10 Crear bodega
FR-011,"Zonas, cámaras y ubicaciones de almacenamiento","El sistema debe modelar ubicaciones jerárquicas dentro de cada bodega, por ejemplo zona, cámara, pasillo, estante, nivel y posición.",Administrador del sistema; Jefe de inventarios; Auxiliar de bodega,"Una ubicación debe pertenecer a una sola bodega; debe poder clasificarse por tipo: recibo, cuarentena, picking, congelado, devoluciones, merma o despacho.",Se crean ubicaciones jerárquicas consultables; los movimientos internos exigen origen y destino válidos; los reportes muestran stock por ubicación.,Alta,UC-11 Crear ubicación
FR-012,Perfil térmico y capacidad por bodega o ubicación,"El sistema debe parametrizar rango de temperatura, humedad objetivo y capacidad máxima por bodega, cámara o ubicación cuando aplique.",Calidad; Jefe de inventarios; Administrador del sistema,No debe permitirse almacenar un producto frío o congelado en una ubicación incompatible sin aprobación excepcional; la ocupación no debe superar la capacidad configurada salvo permiso especial.,Cada ubicación puede tener perfil térmico y capacidad; el sistema alerta incompatibilidades de almacenamiento; el tablero muestra ocupación usada y disponible.,Alta,UC-12 Configurar perfil térmico
FR-013,Estados de inventario,"El sistema debe manejar estados de inventario como disponible, reservado, en tránsito, cuarentena, bloqueado, vencido, devuelto, merma y decomiso.",Jefe de inventarios; Calidad; Auxiliar de bodega; Despacho,"Solo el inventario disponible puede alistarse o despacharse; los estados cuarentena, bloqueado, vencido y decomiso no pueden usarse en ventas ni traslados normales.","El sistema cambia de estado con reglas y permisos; los reportes segregan stock por estado; si un lote está bloqueado, el picking no lo sugiere.",Alta,UC-13 Cambiar estado de inventario
FR-014,Rutas y tiempos de traslado entre bodegas,"El sistema debe parametrizar rutas autorizadas entre bodegas, tiempos objetivo, ventanas horarias y responsables logísticos para los traslados.",Supervisor logístico; Jefe de inventarios; Administrador del sistema,Solo se permiten traslados entre bodegas habilitadas; los productos fríos deben usar rutas aptas para cadena de frío; el sistema debe distinguir traslados en tránsito.,"Se configura origen, destino, tiempo y restricciones por ruta; un traslado usa solo rutas activas; el tablero identifica traslados vencidos o demorados.",Media,UC-14 Configurar ruta interbodega
FR-015,Registro de vehículos y transportadores,"El sistema debe administrar vehículos propios o terceros, conductores, placas, tipo de carrocería, capacidad, condición sanitaria y vigencia documental.",Supervisor logístico; Administrador del sistema; Calidad,"Para productos refrigerados o congelados, el vehículo debe estar habilitado para cadena de frío; no se asignan vehículos o transportadores con documentos vencidos.","Se registran vehículos, conductores y vigencias; el despacho solo permite asignar medios activos y vigentes; el sistema alerta vencimientos documentales próximos.",Media,UC-15 Registrar transportador
FR-016,Maestro de proveedores,"El sistema debe administrar proveedores con datos legales, tributarios, comerciales, logísticos y categorías de productos autorizadas.",Compras; Contabilidad; Administrador del sistema,Todo proveedor debe tener identificación única; no se pueden emitir órdenes de compra a proveedores inactivos o bloqueados.,"Se pueden crear, editar e inactivar proveedores; la OC valida proveedor activo; el historial de compras y devoluciones queda consolidado por proveedor.",Alta,UC-16 Crear proveedor
FR-017,Homologación documental y sanitaria de proveedores,"El sistema debe controlar documentos del proveedor como cámara de comercio, RUT, certificaciones, fichas técnicas y soportes sanitarios aplicables.",Compras; Calidad; Auditor interno,"Si un producto o proveedor requiere soporte sanitario, el documento debe estar vigente para comprar o recibir; el sistema debe alertar renovaciones próximas.",Se registran documentos con fecha de emisión y vencimiento; al vencer un documento crítico el proveedor queda en advertencia o bloqueo según regla; las OC muestran el estado documental del proveedor.,Alta,UC-17 Homologar proveedor; UC-43 Adjuntar soporte
FR-018,Solicitudes internas de compra o reposición,"El sistema debe permitir a inventarios o áreas autorizadas generar solicitudes de compra por quiebre, mínimo, pronóstico o necesidad operativa.",Jefe de inventarios; Compras; Gerencia,"La solicitud debe contener bodega, producto, cantidad y justificación; puede originarse por punto de reorden, baja rotación o reposición intermitente.",Se puede crear y aprobar una solicitud; el sistema sugiere cantidades según stock y mínimos configurados; la solicitud aprobada puede convertirse en orden de compra.,Media,UC-18 Generar solicitud de compra
FR-019,Órdenes de compra,"El sistema debe generar, aprobar, anular y cerrar órdenes de compra con proveedor, productos, cantidades, precios, impuestos, bodega destino y fecha comprometida.",Compras; Gerencia; Contabilidad,"No se puede aprobar una OC con proveedor bloqueado; la orden debe soportar recepciones parciales y cierre por cumplimiento, cancelación o diferencia autorizada.","Se emite una OC con numeración única; permite recepciones parciales hasta completar la cantidad; el estado cambia correctamente entre borrador, aprobada, parcialmente recibida y cerrada.",Alta,UC-19 Emitir orden de compra
FR-020,Aviso de recepción y cita de muelle,"El sistema debe programar recepciones con fecha, hora, proveedor, vehículo, bodega, temperatura esperada y documentos de soporte.",Compras; Recepción; Supervisor logístico,La recepción programada debe asociarse a una OC o remisión prevista; deben identificarse cargas refrigeradas o congeladas para priorizar descargue y control de temperatura.,"Se agenda una cita con datos mínimos; recepción y seguridad pueden consultar la programación del día; al llegar el vehículo, la cita se marca como atendida o ausente.",Media,UC-20 Programar recibo
